"","X.1","X","Address","Postal_code","Price","Beds","Baths_num","Description","Img_uri","Square_feet","Year_built","Id_code","Style","PropertyID","YearBuilt","Baths","Status","ParkingTypeDescription","Storeys","NewConstruction","Neighbourhood","LivingArea","Basement","BasementDevelopment","CondoType","ConstructionType","EnsuiteYN","Exterior","Flooring","Foundation","FrontExposure","GarageYN","HeatingFuel","HeatingType","HOAFeeYN","LotShape","Other","Parking","PropertySubType","PropertyType","Region","RoofType","SiteInfluences","Zone","ID","TotalRooms","Fireplaces","County","Amenities","AmenitiesNearBy","BasementType","ExteriorFinish","Features","FenceType","LandscapeFeatures","Structure","TransactionType","FPFuel","AssociationFee","CoolingType","FireProtection","BasementFeatures","ViewType","ConstructionStyleSplitLevel","CondoFeeInclude","SchoolDistrict","CeilingHeight","LotArea","Appliances","FireplaceType","PoolType","WaterFrontType","ConstructionMaterial","FlooringType","FoundationType","LeasePerUnit","Sewer","EfficiencyRating","AccessType","SewerSeptic","ElementarySchool","EstimatedAnnualTaxes","MaintenanceFeeType","Access","ArchitecturalStyle","Area","ConstructionMaterials","CountyOrParish","DrivewayType","FoundationDetails","Garage","Heating","InteriorFeatures","KitchenAppliances","LotFeatures","ParkingFeatures","Possession","Roof","Utilities","LotSize","FarmType","BodyofWater","CurrentValidPercTest","District","DOCUMENTSONFILE","DRIVEWAY/PARKING","Easements","EnvironmentalAssessment","LANDFEATURES","PropertyGated","PROPERTYSIZE","Restr/ProtCovenants","Road","SEWAGEDISPOSAL","Sign","Sub-District","Survey","TitletoLand","Type","UTILITIES","WATERACCESS/VIEW","WATERFRONTAGE","WaterFrontageUnits","WATERSOURCE","Waterfront","Fixture","EquipmentType","RentalEquipmentType","Distinctivefeatures","Sewagesystem","Watersupply","Zoning","ExteriorFeatures","HeatType","CommunityFeatures","SurfaceWater","EquipIncl","FeaturesInterior","GaragesParkingDescription","ParkingSurface","WaterHeater","WaterHeaterType","WaterSoftener","RoofMaterial"
"842",NA,NA,NA,NA,"674500","4","4",NA,NA,"1990",NA,"4167252","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"12","1","Canada","Park,Playground,PublicTransit,Schools,Shopping","Park,Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,NA,"Fence","Landscaped","Deck","Forsale",NA,NA,"Centralairconditioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843",NA,NA,NA,NA,"670000","3","4",NA,NA,"2422",NA,"4164994","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"16","1","Canada",NA,NA,"Full(Finished)","Stone,Vinylsiding","NoAnimalHome,NoSmokingHome,Park/reserve","Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844",NA,NA,NA,NA,"665000","3","2",NA,NA,"884",NA,"4164270","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Surface0cars","1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Wood","Flat","Fence",NA,"Patio(s)","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845",NA,NA,NA,NA,"650000","4","3",NA,NA,"2692",NA,"4166090","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"9","1","Canada","Playground,Schools","Playground,Schools","Full(Unfinished)","Vinylsiding",NA,NA,NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",NA,NA,NA,NA,"649900","4","2",NA,NA,"1029",NA,"4167314","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active",NA,"1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"Canada","Playground,PublicTransit,Shopping","Playground,PublicTransit,Shopping","Full(Finished)",NA,NA,"Fence",NA,NA,"Forsale",NA,NA,NA,NA,"Apartmentinbasement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",NA,NA,NA,NA,"649000","5","3",NA,NA,"1071",NA,"4163508","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active",NA,"1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"Canada",NA,NA,"Full(Finished)",NA,"Backlane,Flat,NoAnimalHome,NoSmokingHome","Fence",NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848",NA,NA,NA,NA,"649000","5","3",NA,NA,"1071",NA,"4163508","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active",NA,"1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"Canada",NA,NA,"Full(Finished)",NA,"Backlane,Flat,NoAnimalHome,NoSmokingHome","Fence",NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849",NA,NA,NA,NA,"639000","4","2",NA,NA,"1190",NA,"4144337","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Detached2cars","1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"Canada",NA,NA,"Full(Finished)","Stucco","Backlane","Fence","Fruittrees/shrubs,Landscaped",NA,"Forsale",NA,NA,"Centralairconditioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850",NA,NA,NA,NA,"635000","3","4",NA,NA,"1739",NA,"4161958","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"8","2","Canada",NA,NA,"Full(Finished)",NA,NA,NA,"Landscaped",NA,"Forsale",NA,NA,NA,"Alarmsystem",NA,"View",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851",NA,NA,NA,NA,"632500","3","4",NA,NA,"2282",NA,"4167464","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"14","3","Canada",NA,NA,"Full(Finished)","Stone,Vinylsiding",NA,NA,NA,"Deck,Patio(s)","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",NA,NA,NA,NA,"630000","3","3",NA,NA,"1334",NA,"4142518","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Unfinished)",NA,"Backlane,NoAnimalHome,NoSmokingHome","Fence","Landscaped","Deck","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",NA,NA,NA,NA,"630000","3","3",NA,NA,"1334",NA,"4142518","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Unfinished)",NA,"Backlane,NoAnimalHome,NoSmokingHome","Fence","Landscaped","Deck","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",NA,NA,NA,NA,"6e+05","5","4",NA,NA,"2237",NA,"4147869","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"Canada","PublicTransit,Schools,Shopping","PublicTransit,Schools,Shopping","Full(Finished)","Stone,Stucco",NA,"Fence",NA,"Deck,Porch","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",NA,NA,NA,NA,"6e+05","4","4",NA,NA,"2101",NA,"4164829","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"14","1","Canada",NA,NA,"Full(Finished)","Brick,Stucco",NA,"Fence","Landscaped,Undergroundsprinkler",NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",NA,NA,NA,NA,"599900","2","2",NA,NA,"1528",NA,"4167277","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Underground0cars","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"Canada","Playground,PublicTransit","Playground,PublicTransit",NA,"Brick","Balcony,Elevator",NA,NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indoorpool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857",NA,NA,NA,NA,"599000","3","4",NA,NA,"1271",NA,"4137202","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Detached1car","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"Canada","Schools,Shopping","Schools,Shopping","Full(Finished)",NA,NA,NA,NA,"Deck","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",NA,NA,NA,NA,"592900","3","3",NA,NA,"2278",NA,"4167460","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"8","1","Canada",NA,NA,"Full(Unfinished)","Stone,Vinylsiding",NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",NA,NA,NA,NA,"585000","4","5",NA,NA,"2303",NA,"4166841","Other",NA,NA,NA,"Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"11","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Vinylsiding",NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",NA,NA,NA,NA,"584900","4","4",NA,NA,"2147",NA,"4150113","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"11","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,NA,"Fence","Fruittrees/shrubs,Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",NA,NA,NA,NA,"582000","3","3",NA,NA,"2145","2013","101302033","2Storey","101302033","2013","3(Full:23/4:01/2:1Other:0)","Active","Attached4cars","0","No",NA,NA,NA,"Unfinished","NotaCondo","WoodFrame","1","Vinyl","Hardwood,CeramicTile,Carpet","Concrete","West","1",NA,"ForcedAir-1","0","Rectangular",NA,"DoubleGarageAttached","Detached","Detached","Calgary","AsphaltShingles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GasOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862",NA,NA,NA,NA,"579900","3","3",NA,NA,"2306",NA,"4164673","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"9","1","Canada","GolfCourse,Park,Playground,PublicTransit,Schools,Shopping","GolfCourse,Park,Playground,PublicTransit,Schools,Shopping","Full(Unfinished)",NA,"Flat,NoAnimalHome,Nobacklane,NoSmokingHome,Park/reserve","Fence","Landscaped","Deck","Forsale",NA,NA,"Centralairconditioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",NA,NA,NA,NA,"579900","4","4",NA,NA,"1803",NA,"4166591","Other",NA,NA,"4(Full:23/4:01/2:2Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"10","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Stone,Vinylsiding",NA,NA,"Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",NA,NA,NA,NA,"575000","4","3",NA,NA,"2466",NA,"4160987","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"10","1","Canada","Playground,PublicTransit,Shopping","Playground,PublicTransit,Shopping","Full(Unfinished)","Vinylsiding",NA,NA,NA,"Deck","Forsale",NA,NA,NA,NA,"Walkout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",NA,NA,NA,NA,"569900","5","4",NA,NA,"2483",NA,"4148968","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,"Canada",NA,NA,"Full(Finished)","Stone,Vinylsiding",NA,"Fence",NA,NA,"Forsale",NA,NA,NA,NA,NA,"View",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866",NA,NA,NA,NA,"565000","4","3",NA,NA,"1797",NA,"4166725","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"Canada",NA,NA,"Full(Unfinished)","Stone,Stucco",NA,"Fence","Fruittrees/shrubs,Landscaped",NA,"Forsale",NA,NA,NA,NA,NA,NA,"Splitlevel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
