"","Address","Postal_code","Description","Price","Square_feet","Beds","Baths","Date_Added","Year_built","Neighbourhood","Type_of_home","Area_of_city","Lot_info","Id_code","Img_uri"
"12","6835 HUNTCHESTER ROAD NE, Calgary, Alb","T2K5E6","This thoughtfully designed three bedroom four­ level split has over 2300 square feet of developed space located on a large, beautifully treed, low­ maintenance lot. This property is complete with a large patio and double­ detached garage, tool shed and green space. The extensive use of ceramic tile on the entrance level contributes to the bright and spacious appearance, while the wood­ burning fireplace creates that special winter evening ambiance in the family room. A large living room is found on the main level next to the full dining room which leads directly to the kitchen with a convenient breakfast nook. As you make your way to the upper level, you will find the master bedroom with an ensuite bathroom, two other bedrooms, and a large five­ piece bathroom featuring his­ and­ her sinks. A partial suite with laundry hook ups, a kitchen sink, and plenty of counter space is located in the fully­ developed basement. This property is conveniently located near schools, shopping and public transit. Call now!","498000","1769","3","2","23 February 2018","1973","HuntingtonHills","Residential","Northwest Calgary",NA,"l_53985167","https://mediavault.point2.com/p2h/listing/f4e4/f517/5712/1152b9d5da6bcadb0247/wm_large.jpg"
"13","10 PRESTWICK BAY SE, Calgary, Alb","T2Z0B5","CUSTOM DESIGN AND UPGRADES! You will be blown away with the Mountain View, South city view and apartment itself. This one bedroom apartment is not typical! Bigger Sq.Feet size, very specious, TOP FLOOR! Maple hardwood thought out the apartment. Granite counter tops in the kitchen and bathrooms. In the kitchen you will find extension of the granite counter­top, so you can use it for the dinning. No extra table is necessary! Filter for the water! Adjustable/Dimming lights for the kitchen! In­-suite washer and dryer. Plenty of storage area. There is lots of visitor parking and you are close to parks, bus, shopping plaza on 130AV and quick access to Deerfoot. There is also 1 underground heated parking! Call today before its gone! You will not be disappointed!!!","195000","674","1","1","6 February 2018","2012","McKenzie","Apartment","Southeast Calgary",NA,"l_53326633","https://mediavault.point2.com/p2h/listing/60be/40f6/c128/27192d8d8f171623392d/wm_large.jpg"
"14","3704-15a Street SW, Calgary, Alb","T2T4C3","Luxury Living in this 2 Bedroom + 2 Bathroom, TOP FLOOR Condo in Marda Loop. Looking for a quaint building with only 11 units, with reasonable condo fees with low operating costs... this Top floor corner unit condo will fit your inner city lifestyle. Updated with engineered hardwood flooring throughout the home, updated designer lighting + freshly painted. Open concept living in the main rooms, with corner GAS FIREPLACE, STAINLESS STEEL appliances, crisp white shaker cabinets, with black GRANITE counters, with 2 large windows in the living /dining rooms, along with infloor heating throughout ( no more ugly baseboard heating! ). 2 good sized Bedrooms, including master bedroom, with ensuite with shower + walk in closet. Insuite laundry + storage. When you think of Marda Loop, this location is one of the bests, walking distance to the shops on 33rd, + easy access to 14th street, River Park, + minutes to downtown. Check out the 3D tour... and lets get started!","359900","872","2","2","8 February 2018","2005","Altadore","Apartment","Southwest Calgary",NA,"l_53427524","https://mediavault.point2.com/p2h/listing/20ba/b9cf/ef4e/956bae39b7424919ed97/wm_large.jpg"
"15","31 Castlepark Road NE, Calgary, Alb","T3J1R9","Pride of ownership exudes from this fully renovated 2 storey home located on a quiet street in Castleridge. The main level consists of an open floor plan with hardwood floors running through-out. The gourmet kitchen has been completely upgraded with S/S appliances, granite countertops, tiled backsplashes and dark custom cabinets. Completing the main floor is an oversized living room, separate dining area and 3pc bath. Upstairs you will find a huge master suite, second bedroom and a 4pc bath with jetted tub. The basement is completely developed with a third bedroom, office/den and large storage area. Additional bonuses include: an attached garage, new fence, huge back deck, newer roof, windows, doors, furnace, hot water tank, plumbing and electrical. Located close to schools, parks, shopping, city transit and easy access to main roadways. This home is a must see to appreciate.","359000","1153","3","2",NA,NA,"Castleridge",NA,"Northeast Calgary",NA,"l_53888533","https://mediavault.point2.com/p2h/listing/8e6c/71dc/8772/2240a73c812b1166e94a/wm_large.jpg"
"16","17 SAGE HILL LD NW, Calgary, Alb","T3R0H5","OPEN HOUSE!SAT MAR.10th & SUN MAR.11th 2-4PM. Expansive & relaxing views across an environmental reserve from a cedar-covered three-season back deck only begins to describe the splendor of this custom-built Baywest home in Sage Hill. This 1-of-a-kind home gives you three levels of luxury living with its high ceilings throughout, open concept main floor with a 2-sided gas fireplace, formal dining room, exquisite designer kitchen with granite counters, over-sized island, breakfast nook, tall ""Superior"" cabinets with plenty of storage & all upgraded stainless steel appliances including a gas cook-top complete with a pancake griddle. All upgrades have been considered: engineered hardwood floors, custom tiles, over-sized triple pane windows, instant hot water, water softener, purified water system, upgraded thermometer, air conditioning, high-efficiency furnace, light fixtures, built-in speakers, three exterior gas lines, fully developed basement, sprinkler system, & widened garage & driveway.(see add.remarks) You will find three large bedrooms, three and a half baths, a prominent west-facing Master suite with beautiful vaulted ceilings, floor-to ceiling windows and a quaint Juliet balcony. You can often see deer grazing down below from the master bedroom and master ensuite oasis and spa which is fully equipped with two recessed sinks, tall, maple storage cabinets, a large soaker tub and over-sized tiled steam shower with a Steam-Mist steamer and mood-lighting package. The beautifully landscaped low-maintenance yard with front stamped ""bistro"" area is perfect to enjoy your morning Starbucks. This property is a must see! Book your appointment now! (id:1937)","870000","2658","4","4","25 February 2018","2009","SageHill","Singlefamily","Northwest Calgary",NA,"l_54086371","https://mediavault.point2.com/p2h/listing/2f61/13c1/70bb/0a96f99119aa185d47d9/wm_large.jpg"
"17","707 4 Street NE, Calgary, Alb","T2E3S7","Beautiful walk to downtown from the hill above Bridgeland! This 1 Bed & 1 Bath home has a very open and ultra-functional floor plan with a built in tech desk, and a private balcony that overlooks the courtyard. Absolutely Top Notch Finishing’s include: Quartz Counter Tops, Large Island, Gas Range, Stainless Steel Appliances, Designer Lighting and Cabinetry, In Suite Laundry and Storage. This Top Notch complex comes with a fully equipped Gym, Underground Parking, separate Storage, Bike Room, Carwash Station and a Dog Wash Station. Easy access to C-Train, Public transit, Trendy Shops, Restaurants and Cafes. Sweeping views of downtown and the River Valley and a quick 20 minute stroll to Downtown. Award winning Bucci Builders thought of everything in the sought after NEXT development.","306900","604","1","1","2 March 2018","2013","Renfrew","Apartment","Northwest Calgary",NA,"l_54300302","https://mediavault.point2.com/p2h/listing/89fa/2845/8dc5/11c7730ba39da650550a/wm_large.jpg"
"18","33 SAGE HILL LD NW, Calgary, Alb","T3R0E9","OPEN HOUSE: SAT MAR 10th & SUN MAR 11th 2-4:00PM. Wake up to calming views from the environmentally protected natural ravine in your own backyard in the desirable Northwest community of Sage Hill! This exquisitely designed home boasts over 3,200 sq. ft. with 4 beds, 3 1/2 baths, beautiful knockdown ceilings, hardwood flooring, a grand foyer and living room with oversized windows opening up to above, bringing in tons of natural lighting! Enjoy the views from the giant family room with gas fireplace, the dining room or the custom maple kitchen with large island, walk-through pantry, granite counters and equipped with all stainless steel appliances. The upgraded iron rail staircase lead you to the upper floor where you will find 2 large bedrooms, a full bath, flex room and the master retreat with large windows, fully equipped ensuite with his and hers sinks, soaker tub and enormous walk-in closet. (see add'l remarks) The builder developed walk-out basement features a den, the 4th bedroom, full bath and a massive recreation room - perfect for entertaining! Landscaping is made easy with the built-in underground sprinkler system. Sit back and watch the sunsets as the seasons change from your low-maintenance deck and/or your upgraded patio. Have full control of the hot summer days with the central air conditioning system, one unit fully controls the upper floor only and one controls the main floor and basement. Inside and out, this home is sure to impress. (id:1937)","709000","2294","4","4","25 February 2018","2011","SageHill","Singlefamily","Northwest Calgary",NA,"l_54085922","https://mediavault.point2.com/p2h/listing/503b/f9be/ff5a/1329891951239a7af238/wm_large.jpg"
"19","150 Hidden Creek Road  NW, Calgary, Alb","T3A6L7","Pride of ownership shows throughout in this beautiful 2 storey home. It is located minutes off Stoney Trail in the very desirable NW area of Hanson Ranch. This home was custom built by the owners and has been a one owner home. On the main level of this home you will find a nice bright opened kitchen and dining area, with a door to the large 29' x 16' deck,  the living room which has a gas fireplace, the office/den and the laundry room and a 2 piece bath. Upstairs you will find, the master bedroom which has a 5 piece ensuite, two more  bedrooms and a Bonus Room, and a 4 piece bath. In the basement of this home you will find the family room which has a gas fireplace, a Rec room, 4th bedroom and a 3 piece bath.  9 foot ceilings in the basement make it all that more comfortable. This house hits all the points and will not disappoint! (id:1937)","674999","2309","4","4","25 February 2018","2003","HiddenValley","Singlefamily","Northwest Calgary",NA,"l_54086205","https://mediavault.point2.com/p2h/listing/d8d5/2807/34b5/3de2a93b680ac8d5a291/wm_large.jpg"
"20","211 8 ST NE, Calgary, Alb","T2E4G6","OPEN HOUSE SATURDAY MARCH 10 1-4PM. This Bridgeland home is moments from downtown, the river and more. There is an incredible granite island, designer lighting, a walnut kitchen & walnut floors. Further, there is a gentle balance in the main floor plan created by the symmetrical windows, sunken front/rear entrances & poised powder room. Upgrades continue w/ clerestory windows, granite countertops/backsplashes, floating cabinets, designer fixtures, brushed steel rails & window coverings. Mechanical upgrades include: 2 zone furnace/AC, high efficiency in-floor heat & programmable lighting. The 2nd floor features 2 large bedrooms (potential master) w/ ensuites & laundry. The 3rd floor can be used as a flex room, office or a master retreat w/ walk-in closet & full bath. The highlight is 2 balconies (east & west) w/ the privacy of mature trees. Fantastic downtown views. The basement is finished w/ a bedroom, full bath & rec room. The garage is complete w/ attic storage. (id:1937)","924900","1913","4","5","25 February 2018","2013","Bridgeland","Singlefamily","Northwest Calgary",NA,"l_54086092","https://mediavault.point2.com/p2h/listing/27fb/b77a/aeb8/3c3a94dc2dba87aee304/wm_large.jpg"
"21","3244 breen cres nw, Calgary, Alb","T2L1S7","Terrific secluded and quiet family home in an incredible location; steps away from the University of Calgary, LRT, library, all levels of schools, rec center, restaurants, coffee shop, Northland mall and plenty of green spaces. The 1287 sq ft home is complete with 5 bedrooms, 2 & 1/2 bath with several upgrades already completed! The main floor consists of 3 bright bedrooms, master bedroom includes renovated half bath, impressive main bathroom with built-ins, granite counters and main floor laundry. The spacious living room with hardwood flooring conveniently opens into the large eat-in kitchen with updated stainless appliances. Fresh new paint and newer carpet on both levels. The basement is roughed in for a second kitchen and includes 2 large bedrooms, full bathroom, gas fireplace and plenty of living space. Sunny west backyard with large deck for summer entertaining, matures trees you will love and a double garage. Just steps away from Calgary's highest achieving public schools K-12.","679900","1287","5","2","26 February 2018","1964","Brentwood","Residential","Northwest Calgary",NA,"l_54121672","https://mediavault.point2.com/p2h/listing/1b37/4f50/16d1/49b58105c4247fdd13ef/wm_large.jpg"
"22","367 COPPERFIELD GV SE, Calgary, Alb","T2Z4L8","OPEN HOUSE: March 4th 2-4pm. Situated on a quiet street in Copperfield, this fully finished 3 bedroom two storey with plenty of upgrades is the one you've been looking for! Step up onto the large front porch and enter the main floor featuring laminate floors, upgraded stainless steel appliances, kitchen island with breakfast eating bar, white kitchen cabinetry with modern hardware and a window over the kitchen sink. Upstairs there are 3 spacious bedrooms with ample amounts of closet space as well as a common 4 piece bathroom. The lower level is fully finished with a large rec room area which is perfect for a home theatre with surround sound or this area would be a perfect spot for the kids to play. There is also plenty of room for storage on this lower level. Enjoy the summer sun out back on the large deck with bench seating and park the car in the large double detached garage in the winter months. Located close to schools, parks, the pond, shops and transit makes this a perfect home for the family.\r","419000","1405","3","1","26 February 2018","2003","Copperfield","Residential","Southeast Calgary",NA,"l_54122006","https://mediavault.point2.com/p2h/listing/b321/2cbc/406b/8f540e28d020e5593191/wm_large.jpg"
"23","294 AUBURN BAY BV SE, Calgary, Alb","T3M0C6","Your new home is calling you to Auburn Bay granting you and your family full lake privileges! One of Calgary's nicest lake communities offers tons of year-round recreation, schools, and shopping, as well as the new South Health Campus and all that Seton has to offer. This home boasts a beautiful open floor plan with 9 ft ceilings, hardwood floors, main floor office, walk-through pantry and custom maple built-ins surrounding a solid stone front fireplace.  Sunny and bright on all floors this home gives you plenty of living space with a large bonus room up, two spacious bedrooms and a luxurious Master suite. The basement is professionally developed with all permits and provides that additional guest bedroom, full bath, and media room complete with a fabulous wet bar. The washer and dryer will be replaced with the original set which is stored downstairs. (id:1937)","538000","1982","4","4","25 February 2018","2006","AuburnBay","Singlefamily","Southeast Calgary",NA,"l_54087381","https://mediavault.point2.com/p2h/listing/0e06/bc52/70a3/3d8bf5f96aaa7b810fe1/wm_large.jpg"
"24","3427 Kerry Park RD SW, Calgary, Alb","T3E4S5","Stunning 2 sty Situated on a Quiet Cul-de-sac facing a Park with a West backyard.Total living space 2507 sq ft (RMS )of quality craftsmanship & up scale finishing:Solid core doors,4 zone heating system, HRV, IN FLOOR HEATING,9 ft high ceilings, Lux triple pane windows,engineered wide plank oak hardwood & plush carpeting.The open foyer leads into the Front living rm w/lg windows offering a Picturesque view of the park.The Chef""s kitchen features:High end custom cabinetry, SS appliances(5 burner gas top, Full size SS fridge & freezer,Lg Island w/Blanco sink & premium quartz/waterfall.PLUS a WALK IN PANTRY.The dinning area has custom panelling.An exquisite Barn door accents the Den/Flex rm.The master retreat boasts w/walk-in closet w/built in drawers/organizers, a Luxurious ensuite w/dual sinks, soaker tub, heated tile flr,rain shower,separate water closet & another barn door.The lower level offers family rm w/wet bar, lg windows, full bath,storage,a dream mechanical rm & hydronic heat. New build no tax info Architect measurements are 1945 sq ft for this Unique Modern Traditional floor plan with no wasted space and plenty of natural lighting. EXTRAS to mention: Kitchen cabinets w/dovetailed maple drawers &  USB plugs in kitchen,LED lights, level 5 smooth finished ceilings on all 3 floors,High efficiency Carrier furnace split into four zones with individual controls...HRV=heat recovery ventilation, provides ventilation without the loss of heat or humidity. Engineer model/review design for new 9.36 Energy Code Compliance,Garage insulated and drywalled, garage door 8'high not standard 7', CRC Regency roof singles with a limited lifetime warranty, bathroom exhaust fans 90 CFM 0.3 Sones, Minimum Shared common wall in living rm, roughed in Vacu-flo and security system(main control pad & garage),Fiber optic(rough-in) from garage service panel into house,extra lg stucco privacy wall on 9' concrete foundation separating back yards, poured exposed aggregate front steps(not pre-cast).PLUS Travellers New HOME WARRANTY (id:1937)","989000","1805","4","4","2 March 2018","2018","Killarney","Singlefamily","Southwest Calgary",NA,"l_54277421","https://mediavault.point2.com/p2h/listing/83e5/acd2/9c3b/107b26c338f44ca1a289/wm_large.jpg"
"25","10 CRESTRIDGE ME SW, Calgary, Alb","T3B0M1","**OPEN HOUSE March 10th 1-3** Dripping with every extra you can imagine! This HUGE 5 bed home with 4 CAR GARAGE sits on one of the biggest lots in Crestmont's quietest Cul de Sac! $200k+ in extras were added after the Sellers meticulously worked with  Augusta Custom homes. State of the art Chefs white kitchen is perfect for entertaining with upgraded appliances. Granite counter tops for miles will hold enough food for your big family gatherings in the wide open great room. The entire back of the house is filled with triple pain windows and looking onto the MASSIVE landscaped yard siding a green space with 15x24 deck! Room for the soccer team, a big garden, pool or sports court! the options are endless! Basement is professionally finished with 2 bedrooms, full bath & large family room. Get lost in the master bedroom/spa bathroom with large walk in closet. Get in now! New school 2020/2021 & lots of new shops near COP! 45 min to the mountains, commute to  downtown and foothills hospital is direct and fast! (id:1937)","1100000","2685","5","4","27 February 2018","2016","Crestmont","Singlefamily","Southwest Calgary",NA,"l_54130150","https://mediavault.point2.com/p2h/listing/b669/2e6f/488e/5227a409eb5f0961f596/wm_large.jpg"
"26","#202 1814 29 AV SW, Calgary, Alb","T2T1M8","Panoramic city view from the luxury of your private hot tub on your enormous rooftop deck. This spacious 2 bedroom, 2 bath home was completely renovated in 2014 - cork flooring, new windows and tankless hot water system, new fridge/dishwasher, heated floors in ensuite, steam shower, giant air-jet tub for two, Hunter Douglas blinds and so much more. The kitchen and bathroom countertops are quartz, and the kitchen island easily seats 4-5 people for those entertaining evenings. The upstairs loft offers a wet bar and large living/office area.  This beautiful unit offers every luxury imaginable with the best views in Marda Loop.  There is tons of storage, private entrance, titled underground heated parking, and large storage room downstairs.  This 4-plex has concrete floors and steel stud construction for excellent soundproofing. Seller is a real estate agent licensed in the province of Alberta, and this is her personal residence. Call your favourite agent for your private viewing today! Unit has Bose speakers in all the ceilings controlled from a central hub/amp.  The Weber gas BBQ has been used less than 5 times and will stay.  This is a $2,000 BBQ. (id:1937)","7e+05","1566","2","2","25 February 2018","2006","SouthCalgary","Singlefamily","Southwest Calgary",NA,"l_54088482","https://mediavault.point2.com/p2h/listing/a702/cbfa/b49e/d9d9aac55c3c1f98f8c9/wm_large.jpg"
"27","6443 LAURENTIAN WY SW, Calgary, Alb","T3E5N2","O/H Sun 2:00-4:30. Stunning new luxury home by Mandara Homes. Situated on the most prestigious street in North Glenmore surrounded by several new homes & only steps away from Earl Grey Golf. This 5 bedroom architectural masterpiece boasts over 4900 sqft developed, features an attached 3 car insulated & heated drive through garage with a motorized rear gate. The highest standard of finishing's are being used & the attention to detail are second to none! The main floor features a grand entrance, front office, dining room, butlers pantry with under counter refrigerator/freezer, open concept kitchen including a SUB ZERO/WOLF appliance package. The living room area is separated by indoor/outdoor fireplaces leading out to the sunny West backing deck. 2nd floor features a bright bonus room, 3 bedrooms including a grand master with his/hers walk in closets & a massive luxury ensuite with all the upgrades. The spacious basement features 2 bedrooms, wetbar, full bath & rec room w/media area. Other upgrades include 2 x central AC Units, triple glazed windows, Elan home automation system to include motorized blinds, sound controls, & lighting. Wired with Cat5 & sound throughout including 5.1 sound in entertainment area. Complete landscaping, 5 zone Rain Bird irrigation system, cedar fencing, security cameras, water softner and so much more!  Watch the video tour! (id:1937)","2249000","3281","5","4","1 March 2018","2018","NorthGlenmorePark","Singlefamily","Southwest Calgary",NA,"l_54227895","https://mediavault.point2.com/p2h/listing/1b65/cca7/da96/027d4f9d6190023cf411/wm_large.jpg"
"28","111 MARQUIS CV SE, Calgary, Alb","T3M1V8","An amazing opportunity to own in one of Calgary's most sought after lake communities, located on a huge pie lot and backing on to the the brand new Catholic school opening September, Divine Mercy Elem. Boasting over 3500 SqFt of developed space, 4 large bedrooms, walk-out basement and incredible landscaping this home offers many upgrades, 8 ft doors, 9 foot ceilings, wainscotting and 2 fireplaces. Large bright kitchen with an abundance of storage, granite, stainless steel appliances, gas stove and access to the huge deck. Upstairs you will find a large master retreat with vaulted ceilings, a faux balcony, spa like tiled en-suite, lots of cabinetry and extensive walk-in closet, an additional 3 large bedrooms, family bathroom and luxurious laundry room. The walk-out basement has a large family/rec area, sauna, bathroom with vintage vanity and access to the covered patio and yard which has been wonderfully designed, has underground sprinklers as well as a stoned landscaped fire pit area with pergola. (id:1937)","839900","2639","4","4","2 March 2018","2013","Mahogany","Singlefamily","Southeast Calgary",NA,"l_54277501","https://mediavault.point2.com/p2h/listing/dcdc/56b2/7ab0/515abb5174169f95c59c/wm_large.jpg"
