"","Address","Postal_code","Description","Price","Square_feet","Beds","Baths","Date_Added","Year_built","Neighbourhood","Type_of_home","Area_of_city","Lot_info","Id_code","Img_uri"
"12","6835 HUNTCHESTER ROAD NE, Calgary, Alb","T2K5E6","This thoughtfully designed three bedroom fourÂ­ level split has over 2300 square feet of developed space located on a large, beautifully treed, lowÂ­ maintenance lot. This property is complete with a large patio and doubleÂ­ detached garage, tool shed and green space. The extensive use of ceramic tile on the entrance level contributes to the bright and spacious appearance, while the woodÂ­ burning fireplace creates that special winter evening ambiance in the family room. A large living room is found on the main level next to the full dining room which leads directly to the kitchen with a convenient breakfast nook. As you make your way to the upper level, you will find the master bedroom with an ensuite bathroom, two other bedrooms, and a large fiveÂ­ piece bathroom featuring hisÂ­ andÂ­ her sinks. A partial suite with laundry hook ups, a kitchen sink, and plenty of counter space is located in the fullyÂ­ developed basement. This property is conveniently located near schools, shopping and public transit. Call now!","398000","1769","3","2","1 February 2018","1973","HuntingtonHills","Residential","Northwest Calgary","21.00m x 33.50m","l_53146487","https://mediavault.point2.com/p2h/listing/f4e4/f517/5712/1152b9d5da6bcadb0247/wm_large.jpg"
"13","405, 3204 Rideau Place SW, Calgary, Alb","T2S1Z2","Totally Renovated, 1507 sq ft, Two underground heated parking stalls, and the most AMAZING VIEWS OF DOWNTOWN unsurpassed panoramic views. Watch the sunrise from the East, and have sun all day from the South. 2 full baths, Master ensuite is a beautiful spa retreat. With Steam shower, and huge soaker tub. Both Kitchen and Bathrooms, designed by Designer's Choice Kitchen and Bathrooms. Top of the line appliances, Miele, Sub Zero, Induction cooking surface, with wall oven, and Steamer oven, Quartz counter tops, beautiful custom kitchen, not a cookie cutter design. Creativity and thoughtfulness went into this renovation. This unit is ideal for the couple/person that loves to entertain, lots of room, with amazing views. Master bedroom is huge, with lots of closet space. Den/family room, can very easily be converted to a second bedroom if required. ( please ask for floor plan) Entire unit has new windows and doors, the complex has an amazing outdoor pool, to be enjoyed by all. Call today for a private viewing","775000","1507","1","2","31 January 2018","1955","RideauPark","Apartment","Southwest Calgary","21.00m x 33.50m","l_53085182","https://mediavault.point2.com/p2h/listing/5655/5540/a48f/90b02e42bd45bb2923a4/wm_large.jpg"
"14","373 WALDEN DRIVE SE, Calgary, Alb","T2X0Y4","This SPOTLESS & FULLY LOADED 3Â­Storey home is situated as corner unit of the complex! Features include ELEGANT HARDWOOD flooring on the main floor, a SPACIOUS SUNNY fullÂ­ sized living room with media console cabinet with open shelving, a CHEFâS DREAM kitchen with STAINLESS STEEL appliance and QUARTZ COUNTERÂ­TOPS in kitchen and in all bathrooms. Other highlights include knockdown ceilings, ceramic tiles in the bathrooms, masterÂ­bedroom complete with their own enÂ­suite bathroom. Central vacuum system. Barbeque gas line on the patio.Fully finished DOUBLE ATTACHED garage! PLUS the entire complex is just a short trip to shopping, transit, parks! This home HAS IT ALL!","348900","1353","3","2","2 February 2018","2013","Walden","Townhouse","Southeast Calgary","21.00m x 33.50m","l_53190312","https://mediavault.point2.com/p2h/listing/715f/74f3/9d39/b90c6a94e27c868e9997/wm_large.jpg"
"15","211 13 Avenue SE Calgary AB Canada, Calgary, Alb","t2g1e1","Single Story for sale in Beltline, Calgary. Priced at $328,000.00","328000",NA,NA,NA,"2 February 2018","2013","Beltline","Residential","Southwest Calgary","21.00m x 33.50m","l_53228651","https://mediavault.point2.com/p2h/listing/d526/1ef8/444e/8de16d8099743d158947/wm_large.jpg"
"16","201 BRAEGLEN CLOSE SW, Calgary, Alb","T2W2B1","Welcome to well cared for home that fells like home.. Numerous upgrades including furnace, flooring, kitchen cabinetry, kitchen sink and appliances. Large living room, perfect for entertaining guests and everyone can Enjoy a Comfortable and welcoming balcony. The upgraded three Â­piece bath includes and oversized shower. The complex has secure gate entrance. Schools, playground, Shopping, the Southland Leisure center all within walking distance. Close Glenmore Park and dog walking park. This unit has also been upgraded with 220 wiring. The two assigned parking stalls are conveniently located. Measurements are taken and comply with the Registered Measurements Standards as such the size does not include the balcony or storage locker.","240000","1016","2","1","8 January 2018","1972","Braeside","Townhouse","Southwest Calgary","21.00m x 33.50m","l_52139946","https://mediavault.point2.com/p2h/listing/12d5/04bb/edfa/ffcfbd905e6f44ffbd25/wm_large.jpg"
"17","81 Legacy Blvd SE, Calgary, Alb","T2X2B9","This brand new 2 bed + den condo is located on the top floor and offers unobstructed views of the Rocky Mountains from it's oversized West facing balcony. The spacious kitchen consists of S/S appliances, granite countertops, upgraded soft close cabinets, tiled backsplashes and a sit-up bar that overlooks the large living room and separate dining area. The master bedroom offers a walk-through closet and a 3pc ensuite with a huge shower and water pik showerhead. Completing this well thought out floor plan is a 2nd bedroom, 4pc bath with a deep soaker tub, in-suite laundry and a good sized den/office area. Additional bonuses include 1 titled underground parking stall with lots of visitor parking plus all window coverings, upgraded light fixtures and carpet. Legacy Gate is located close to future schools (2018), parks, shopping, city transit and easy access to main roadways.","228900","742","2","2","17 January 2018","2016","Legacy","Apartment","Southeast Calgary","21.00m x 33.50m","l_52570371","https://mediavault.point2.com/p2h/listing/f6f4/c07f/07b9/ffc56aa088efa5589296/wm_large.jpg"
"18","100 SILVERADO SKIES MANOR SW, Calgary, Alb","T2X0K2","Welcome to your beautiful and spacious new home in a great location in Silverado, a unique house for this area with a fully selfÂ­ contained basement suite (illegal), including all separate high Â­end appliances and convenient inÂ­ floor heating. Entering the house, you find yourself at the foot of a breathtaking grand staircase. Moving further in, you walk past a niceÂ­ sized den/office and enter the open concept kitchen, living and dining rooms. The 9' ceilings and large windows allow for plenty of natural light to come into this bright and spacious living area. The kitchen features beautiful granite counters with a sizeable island and eating bar. The highÂ­ end stainless steel appliances, tall cabinets and walkÂ­ through pantry make this kitchen a must have. Upstairs, you find a huge bonus room and a sizeable master bedroom with a splendid 5pc ensuite and walk Â­in closet. There are 2 other goodÂ­ sized bedrooms and a 4 pc bath here as well.Your low Â­maintenance backyard looks out on a huge green space.","569000","1186","4","3","11 January 2018","2010","Silverado","Residential","Southwest Calgary","21.00m x 33.50m","l_52324199","https://mediavault.point2.com/p2h/listing/4370/8c80/33b6/27114c61d4136813ff9d/wm_large.jpg"
"19","201 BRAEGLEN CLOSE SW, Calgary, Alb","T2W2B1","Welcome to well cared for home that fells like home.. Numerous upgrades including furnace, flooring, kitchen cabinetry, kitchen sink and appliances. Large living room, perfect for entertaining guests and everyone can Enjoy a Comfortable and welcoming balcony. The upgraded three Â­piece bath includes and oversized shower. The complex has secure gate entrance. Schools, playground, Shopping, the Southland Leisure center all within walking distance. Close Glenmore Park and dog walking park. This unit has also been upgraded with 220 wiring. The two assigned parking stalls are conveniently located. Measurements are taken and comply with the Registered Measurements Standards as such the size does not include the balcony or storage locker.","240000","1016","2","1","8 January 2018","1972","Braeside","Townhouse","Southwest Calgary","21.00m x 33.50m","l_52139946","https://mediavault.point2.com/p2h/listing/12d5/04bb/edfa/ffcfbd905e6f44ffbd25/wm_large.jpg"
"20","28 Copperpond Rise SE, Calgary, Calgary, Alb","T2Z5B9","Welcome to a stunning home: The layout is grand here&could fit your family's needs! South facing, beautiful natural light throughout!At the South entrance, you can BBQ&entertain, as you are facing detached homes, not more townhouses! Inside: a well kept interior with open & large kitchen, beautifully finished. The clients opted for no island, but extra counter space so that they can accommodate LARGE family gatherings!Such a flexible space...change your concept with the seasons! Upstairs 2 kids bedrooms & a bath with soaker tub& shower head. Also space here for a small ""bills desk""...we ALL NEED one! The master is in front of the house and presents to you a well equipped walking closet&private 4-piece ensuite! The basement is FRESHLY done with all City Permits. Metallic funky paint and a LARGE space to use as you wish. The owners have family& game time here or grownup space, a GYM & PLAY area for kids. NATURAL South light is completing this space! Come & enjoy your 2car TRUCK parking.. Ready to move in! PERMITS  were obtained for the basement development. The PARKING can fit 2 LARGE TRUCKS With room to move!","334900","1174","3","2","18 January 2018","2014","Copperfield","Residential","Southeast Calgary","21.00m x 33.50m","l_52599375","https://mediavault.point2.com/p2h/listing/2faa/ea80/c83c/a6a282ae28dc4bcf6953/wm_large.jpg"
"21","9 TARALEA CIRCLE NE, Calgary, Alb","T3J5G6","Fully finished biÂ­level in the desirable N.E. community of Taradale! Double detached garage. Total 3 bedrooms! 2 bedrooms and a 4 pc bathroom on the main floor and 1 bedroom and 3 piece bathroom in basement. Master bedroom features large walkÂ­ n closet. This home shows nicely with new wood laminate flooring. Main floor is sunny with large windows. There is a washer and dryer in the illegal basement suite and another stacked washer and dryer in the stairwell between floors. Both floors have spacious open kitchen/family rooms. Close to schools, shopping and public transportation. 15 minute walk and 5 minute drive to Genesis Health Centre. Call realtor today!","359900","803","3","2","10 January 2018","2004","Taradale","Residential","Northeast Calgary","21.00m x 33.50m","l_52250123","https://mediavault.point2.com/p2h/listing/c561/16cf/5413/0e2ee67ed569e64e9d8c/wm_large.jpg"
"22","27 SILVER SPRINGS DRIVE NW, Calgary, Alb","T3B4N3","This townhouse unit has all the ""mustÂ­ haves"", including hardwood and slate throughout, vaulted ceiling in the living room, a designer kitchen,2 large bedrooms, and a fully developed basement/large room with attached 3 piece bath.The designer kitchen boasts granite countertops, walnut cabinets, stainless steel appliances, a walk in pantry, an eating bar and a builtÂ­in wine fridge.With over 1,400 sq ft of living space, this 2 bedroom 2 1/2 bath townhouse also features custom slate floor in the foyer, iron railings, updated lighting, and beautiful tile work in bathrooms/kitchen.Upper level has a very large master bedroom with his/hers closets, a separate entrance to the 4 pce bath as well as another very large bedroom and laundry.Park your car in your oversized single garage with a workspace containing a workbench and cupboards for lots of storage or use the transit that is minutes away. Do not miss out on this incredible property in a beautiful desirable neighbourhood close to all amenities.","412000","730","2","2","12 January 2018","1976","SilverSprings","Townhouse","Northwest Calgary","21.00m x 33.50m","l_52394804","https://mediavault.point2.com/p2h/listing/3bef/971a/da31/617851b71d691d94b373/wm_large.jpg"
"23","2915 7 AV NW, Calgary, Alb","T3B4N3","Stunning 2-storey by Master Builder Urban Renewal Group Ltd this 2,511 sqft of living space off ""builder-plans"" will not disappoint. Tall ceilings & oversized windows let in an abundance of natural light. The chefs kitchen ft lacquered cabinets w/ soft-close doors/drawers & a gourmet appliance pkg. Living rm ft a custom FP w/ limestone & built-in shelving. 7"" wide wire brushed white oak hardwood floors cover the main w/ matching flush vents & solid core custom doors throughout entire home. Step upstairs to your master retreat ft double doors & a walk-in closet w/ custom shelving & built-in drawers. The spa inspired ensuite ft electric in-floor heat, Kohler, Hans Grohe & Delta plumbing fixtures, double sinks, soaker tub w/ separate shower. Upstairs is completed w/ laundry & 2 add. bed rms. Downstairs incl radiant in-slab heat system w/ floor & ambient heat sensors & a large family rm w/ wine storage & wet bar. Lower is completed w/ 4pc bath & 4th bed w/ walk-in closet. Steps to schools, hospital & UofC. (id:1937)","949900","1720","4","4","25 January 2018","2018","SilverSprings","Singlefamily","Northwest Calgary","21.00m x 33.50m","l_52859201","https://mediavault.point2.com/p2h/listing/ffed/135e/6bd2/5a5a4de36779fdf59e88/wm_large.jpg"
"24","207 EVANSFORD CI NW, Calgary, Alb","T3B4N3","OPEN HOUSE SUNDAY FEBRUARY 4 1-3PM!!1707 SQ. FT. OF TOTAL LIVING AREA! Hello, I am a rarely found 4 level split. I was built by Broadview Home in 2007. I am located on a very quiet street surrounded by other wonderful homes filled with extraordinary families. I think one of my best features is the vaulted ceilings that greets you as you walk in my front door. I have brand new appliances. I am proud of my open concept and how functional my floorplan is. Upstairs I host three bedrooms that I cannot wait to be filled with a new family. On my third level I have enjoyed watching my family use it as a very large rec room; watching movies, playing games and just straight up relaxing.  I think that is one of my favorite memories with them. Although I am not fully completed on my fourth floor, I know my current family has used it to store their photos and extra belongings. I have a fully fenced backyard because I think it's important in case my new family has a pet. I would love for you to be my new family. (id:1937)","409900","1136","3","3","26 January 2018","2007","SilverSprings","Singlefamily","Northwest Calgary","21.00m x 33.50m","l_52884515","https://mediavault.point2.com/p2h/listing/f709/7a48/d634/22ddb3ac2ddb978cbcef/wm_large.jpg"
"25","5216 MARYVALE DR NE, Calgary, Alb","T3B4N3","When you first enter the home you will love how open and bright it is.  The main floor boasts original hardwood, updated white baseboards and modern paint colours.  The living room is an excellent size for entertaining and flows into the large dining room also with hardwood.  The kitchen is a good size and has room for a large table.  There is potential to open the wall up between the kitchen and the living room making the open plan even more so.  There is 3 good size bedrooms upstairs and they all offer hardwood flooring.  There is a 4pc bath with an updated vanity, tile flooring and a feature cedar ceiling.  Back hall is sealed off making a separate entrance for teenagers possible.  Basement offers a large family room and tons of storage.  Large backyard that is very private.  Oversized 14x24 single garage as well.  There is some work to do as reflected in the price but fantastic potential. (id:1937)","324900","1076","3","1","25 January 2018","1969","SilverSprings","Singlefamily","Northeast Calgary","21.00m x 33.50m","l_52858523","https://mediavault.point2.com/p2h/listing/94d1/492c/2810/dc2dc85ee266e2832692/wm_large.jpg"
"26","10516 BRADBURY DR SW, Calgary, Alb","T3B4N3","Public Open house Sat & Sun 1-4pm, Feb 3rd & 4th.Location, location! Backing onto a Park! One owner house on spacious corner lot. Quiet, secluded, lots of green space,large yard & mature trees, apricot, apple & crab-apple trees. Look out the large east facing patio doors off the living room and all you see is green; back yard backs onto a park, so no other houses close by. Patio doors to east sundeck means coffee in the morning sunshine or drinks after work. Lots of space for gardens & garage. House interior has been freshly painted, with new kitchen counter top, sink and faucets (2018), hot water heater (2016), roof shingles (2014), high efficiency furnace (2006), low flow toilet. 3 bedrooms, 1 funky retro bathroom, brick wood-burning fireplace in large living/family room & walk through from kitchen that has west facing bay window. Large, partly finished basement includes a library/office with built-in bookshelves & lots of room for other activities. Asphalt driveway. Close to schools, shopping! (id:1937)","409900","1146","3","1","2 February 2018","1966","SilverSprings","Singlefamily","Southwest Calgary","21.00m x 33.50m","l_53171321","https://mediavault.point2.com/p2h/listing/2423/cfb5/9208/5fc01eb18b0a9d4e89da/wm_large.jpg"
"27","212 Sage Valley Circle NW, Calgary, Alb","T3R0E7","Great family home in Sage Hill. Open concept main floor features a great room with corner gas fireplace, dining area and kitchen with stainless steel appliance package, long side counter allows for lots of prep space as well as sit up eating bar. Modern decor with dark cabinetry and gleaming hardwood flooring on main. Upper level master retreat has 5 piece ensuite bath with soaker tub and shower. Two additional good sized bedrooms, computer nook and laundry room complete this level. The lower level is developed with a full bath and currently has a large family room/recreation room area which could be split off to make an additional bedroom. Central air to cool off in summer, tiered deck to enjoy the evenings.","481900","1655","3","3","26 January 2018","2010","SageHill","Residential","Northwest Calgary","21.00m x 33.50m","l_52926065","https://mediavault.point2.com/p2h/listing/7582/4774/f554/b1f99e139a232e3da62d/wm_large.jpg"
"28","2040 1 AV NW, Calgary, Alb","T3R0E7","2040 1 AVE NW West Hillhurst!!! NOW COMPLETE! Urban Domus offering Luxury Living in this semi-detached home with a spacious 2232 sf in upper 2 lvls plus 901 sf dev lwr lvl. 130' deep lot. Bright flowing open concept w/mainfl den, fireplace ent unit, proud to entertain Chefs Dream Kitchen w/high end Miele SS applics surrounded by 2 Quartz countertop islands & Angora oak hardwood flooring. Rear entry w/builtin closets & bench. 2nd lvl, Exquisite Master w/endless walkthru closets & builtins, Spa Like Ensuite w/steam shower, heated floors, dual sinks, makeup station, builtin vanities w/towers. 2nd & 3rd bdrms & 5pc Main Bath. 2nd floor laundry w/sink, washer/dryer. Fully dev lower lvl, 4th bdrm w/closet builtins, seperate flex rm/home gym, large media builtin, wet bar/wine prep station w/bev center & wine fridge, full bath, infloor heating. 9'0 ceilings thru out, fully landscaped w/cedar deck, many builtins, upgrades & extras. Close to Schools, Hospitals, Bistros & Shops of Kensington & All Amenities. 2042-1 Ave NW is also now available! 2038-1 Ave NW, which is next door, is a brand new Urban Domus single family home which is available as well! All three properties can be viewed on weekends at the open houses or by appointment. Enjoy all the Highest of Qualities Urban Domus Clients have become accustomed to!!! (id:1937)","1199999","2232","4","4","1 February 2018","2017","SageHill","Singlefamily","Northwest Calgary","21.00m x 33.50m","l_53127246","https://mediavault.point2.com/p2h/listing/caae/07ec/cfc9/057e230be0828ed1a623/wm_large.jpg"
"29","1914 11 ST SW, Calgary, Alb","T3R0E7","Open House February 4th from 2:00-4:00 p.m. Walk to downtown, schools and the most sought after amenities in the city. Enjoy the historic Hillside District of Upper Mount Royal. This early 20th century charmer was given a new lease on life with a complete ""back to the studs"" renovation designed by architect AJ Williams. The result is over 4000 square feet of light and bright family space with 100% 21st century infrastructure including a new foundation. The main floor has fabulous character filled principal rooms, large combination kitchen/family room overlooking urban garden, den & super-convenient side entry/mud room. Upstairs are 4 bedrooms including a true master suite with it's own sitting area with fireplace, walk-in closet & en-suite. Lower rec room is amazing oasis for teenagers with 9' ceilings, heated floors, large wood-burning fireplace, large windows & open plan. This yard has been beautifully landscaped and cared for. In district for nationally recognized Western Canada High School IB program. (id:1937)","1799000","2778","5","4","27 January 2018","1912","SageHill","Singlefamily","Southwest Calgary","21.00m x 33.50m","l_52947105","https://mediavault.point2.com/p2h/listing/052b/da5a/7e94/87d557763fac75bf737b/wm_large.jpg"
